编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,繁体,备注,现汉收录,新华收录
U+344C,㑌,,,,,,,✗,㑌儴,,,,,〈书〉同“劻勷”，可不收,✓,
U+3469,㑩,✗,偻㑩,,,,,,,,,,儸,同“喽啰”，可不收,✓,✓
U+34E6,㓦,✓,㓦划,,,,,,,,,,,〈方〉,✓,✓
U+3509,㔉,,,,,,,,,,,,劚,〈书〉用例暂缺（人文？）,✓,
U+355C,㕜,,,,,,,,,,,,,〈书〉同“史”，不收,✓,
U+358A,㖊,,,,,✓,宝珀五十㖊,,,,,,噚,英寻，旧用法,✓,✓
U+359E,㖞,✓,㖞斜,,,✓,口眼㖞斜,,,,,,喎,中医药学名词,✓,
U+35CF,㗏,✓,㗏,,,,,,,,,,,叹词,✓,
U+35D1,㗑,✗,㗑,,,,,,,,,,,同“呗”，可不收,✓,✓
U+35D2,㗒,✓,㗒,,,,,,,,,,,叹词,,✓
U+3604,㘄,✓,㘄㘄,,,,,,,,,,,拟声词,✓,
U+3617,㘗,✓,㘗㘗,,,,,✓,《听听，秋的声音》㘗㘗,,,,,拟声词,✓,✓
U+3625,㘥,✓,㘥子,,,,,,,,,,,又称“囮”,✓,✓
U+3635,㘵,,,✓,清㘵站（广东广州）,,,,,,,,,,✓,✓
U+36A2,㚢,,,,,,,,,,,,,用例暂缺（方言、人名？）,✓,
U+36BB,㚻,✓,㚻奸、㚻片,,,,,,,,,,,,✓,
U+377F,㝿,,,,,,,,,,,,,〈书〉同“跛”，不收,✓,
U+378E,㞎,✓,㞎㞎,,,,,,,,,,,,✓,
U+3797,㞗,✓,㞗,,,,,,,,,,,〈方〉俗作“球”,✓,
U+3798,㞘,✓,㞘子,,,,,,,,,,,〈方〉,✓,
U+37C2,㟂,,,✓,屺㟂岛（山东烟台）,,,,,,,,,,✓,
U+37D6,㟖,,,✓,㟖岗自然保护区（广西崇左）,✓,㟖岗金花茶,,,,,,,又作“弄岗”,✓,✓
U+37E4,㟤,,,,,,,,,,,,,用例暂缺（地名？）,✓,✓
U+383E,㠾,,,,,,,,,,,,,用例暂缺（人文？）,✓,
U+3861,㡡,,,,,,,,,,,,,用例暂缺（人文？）,✓,
U+3905,㤅,,,,,,,,,,,,,〈书〉同“爱”，不收,✓,
U+391E,㤞,,,,,,,✗,㤞憏,,,,,同“侘傺”，可不收,✓,
U+3925,㤥,,,,,,,,,,,,,用例暂缺（人文？）,✓,
U+394F,㥏,,,,,,,,,,,,,用例暂缺（人文？）,✓,✓
U+39C0,㧀,,,,,,,,,,,,,用例暂缺（人文？）,✓,
U+39CF,㧏,,,,,,,,,,,,掆,〈书〉同“扛”，不收,✓,
U+39E5,㧥,,,,,,,,,,,,,用例暂缺（人文？）,✓,
U+39EF,㧯,✓,㧯,,,,,,,,,,,〈方〉,✓,
U+3A04,㨄,✓,㨄,,,,,,,,,,,〈方〉,✓,
U+3A5F,㩟,✓,㩟针,,,,,,,,,,,〈方〉,✓,✓
U+3A97,㪗,✓,㪗气,,,,,,,,,,,〈方〉,✓,✓
U+3ABA,㪺,,,,,,,,,✓,萧㪺,,,〈书〉,✓,
U+3B24,㬤,✓,㬤,,,,,,,,,,,〈方〉,✓,✓
U+3C6E,㱮,✗,㱮脓,,,,,,,,,,殨,同“溃脓”，可不收,✓,
U+3CB2,㲲,,,,,,,,,,,,,〈书〉用例暂缺（人文？）,✓,
U+3CE0,㳠,,,,,,,,,,,,澾,〈书〉用例暂缺（人文？）,✓,
U+3D29,㴩,,,✓,㴩湖（古）,,,,,,,,,,✓,✓
U+3D72,㵲,,,✓,㵲阳河（贵州）,,,,,,,,,,✓,✓
U+3D81,㶁,,,,,,,,,,,,,〈书〉拟声词,✓,
U+3D89,㶉,,,,,,,✓,㶉𫛶,,,,鸂,,✓,✓
U+3D9F,㶟,,,✓,㶟水（古）,,,,,,,,,,✓,
U+3E4E,㹎,,,,,,,,,,,,,〈书〉用例暂缺（人文？）,✓,
U+3E62,㹢,,,,,✓,㺢㹢狓,,,,,,,,✓,
U+3E6D,㹭,,,,,✓,林㹭,,,,,,,又称“猞猁”,✓,✓
U+3E80,㺀,,,,,,,✓,《水浒传》㺀𤝽,,,,,“忽律”，鳄鱼,✓,
U+3EA2,㺢,,,,,✓,㺢㹢狓,,,,,,,,✓,
U+3ECB,㻋,,,,,,,,,✓,和世㻋,,,,✓,
U+3F0E,㼎,,,,,✓,马㼎儿,,,,,,,〈书〉,✓,
U+3F58,㽘,,,✓,姐勒㽘（云南德宏，旧）,,,✓,老㽘,,,,,云南德宏旧行政区划名，头目称“老㽘”,✓,
U+3F93,㾓,,,,,,,,,,,,,〈书〉用例暂缺（人文？）,✓,
U+3FA6,㾦,,,,,✓,㾦㿔、白㾦,,,,,,,中医药学名词,✓,
U+3FD4,㿔,,,,,✓,㾦㿔,,,,,,,中医药学名词,✓,
U+4007,䀇,✓,䀇子鸡,,,,,,,,,,,,✓,✓
U+4026,䀦,✓,䀦,,,,,,,,,,,〈方〉,✓,
U+40F0,䃰,✓,礓䃰,,,✓,礓䃰,,,,,,,〈方〉GB/T 51330，又作“礓蹉”,✓,✓
U+413B,䄻,✓,䄻黍饭,,,,,,,,,,,〈方〉,✓,
U+41ED,䇭,✗,𥬯䇭,,,,,,,,,,,同“栲栳”，可不收,✓,
