编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,备注
U+344C,㑌,,,,,,,,,,,,
U+3469,㑩,,,,,,,,,,,,
U+34E6,㓦,,,,,,,,,,,,
U+3509,㔉,,,,,,,,,,,,
U+355C,㕜,,,,,,,,,,,,
U+358A,㖊,,,,,,,,,,,,
U+359E,㖞,,,,,,,,,,,,
U+35CF,㗏,,,,,,,,,,,,
U+35D1,㗑,,,,,,,,,,,,
U+35D2,㗒,,,,,,,,,,,,
U+3604,㘄,,,,,,,,,,,,
U+3617,㘗,,,,,,,,,,,,
U+3625,㘥,,,,,,,,,,,,
U+3635,㘵,,,,,,,,,,,,
U+36A2,㚢,,,,,,,,,,,,
U+36BB,㚻,,,,,,,,,,,,
U+377F,㝿,,,,,,,,,,,,
U+378E,㞎,,,,,,,,,,,,
U+3797,㞗,,,,,,,,,,,,
U+3798,㞘,,,,,,,,,,,,
U+37C2,㟂,,,,,,,,,,,,
U+37D6,㟖,,,,,,,,,,,,
U+37E4,㟤,,,,,,,,,,,,
U+383E,㠾,,,,,,,,,,,,
U+3861,㡡,,,,,,,,,,,,
U+3905,㤅,,,,,,,,,,,,
U+391E,㤞,,,,,,,,,,,,
U+3925,㤥,,,,,,,,,,,,
U+394F,㥏,,,,,,,,,,,,
U+39C0,㧀,,,,,,,,,,,,
U+39CF,㧏,,,,,,,,,,,,
U+39E5,㧥,,,,,,,,,,,,
U+39EF,㧯,,,,,,,,,,,,
U+3A04,㨄,,,,,,,,,,,,
U+3A5F,㩟,,,,,,,,,,,,
U+3A97,㪗,,,,,,,,,,,,
U+3ABA,㪺,,,,,,,,,,,,
U+3B24,㬤,,,,,,,,,,,,
U+3C6E,㱮,,,,,,,,,,,,
U+3CB2,㲲,,,,,,,,,,,,
U+3CE0,㳠,,,,,,,,,,,,
U+3D29,㴩,,,,,,,,,,,,
U+3D72,㵲,,,,,,,,,,,,
U+3D81,㶁,,,,,,,,,,,,
U+3D89,㶉,,,,,,,,,,,,
U+3D9F,㶟,,,,,,,,,,,,
U+3E4E,㹎,,,,,,,,,,,,
U+3E62,㹢,,,,,,,,,,,,
U+3E6D,㹭,,,,,,,,,,,,
U+3E80,㺀,,,,,,,,,,,,
U+3EA2,㺢,,,,,,,,,,,,
U+3ECB,㻋,,,,,,,,,,,,
U+3F0E,㼎,,,,,,,,,,,,
U+3F58,㽘,,,,,,,,,,,,
U+3F93,㾓,,,,,,,,,,,,
U+3FA6,㾦,,,,,,,,,,,,
U+3FD4,㿔,,,,,,,,,,,,
U+4007,䀇,,,,,,,,,,,,
U+4026,䀦,,,,,,,,,,,,
U+40F0,䃰,,,,,,,,,,,,
U+413B,䄻,,,,,,,,,,,,
U+41ED,䇭,,,,,,,,,,,,
U+41F2,䇲,,,,,,,,,,,,
U+41FD,䇽,,,,,,,,,,,,
U+4205,䈅,,,,,,,,,,,,
U+4349,䍉,,,,,,,,,,,,
U+4361,䍡,,,,,,,,,,,,
U+43AC,䎬,,,,,,,,,,,,
U+43DA,䏚,,,,,,,,,,,,
